ticker,cik,entity_name,file,sha256,filing_cutoff_exclusive
A,1090872,"AGILENT TECHNOLOGIES, INC.",company_raw/companyfacts/CIK0001090872.json,a782d953c7f45eceb7e2f14e5aadf6d27f1836fb652fa32d40c0812f92dc719d,
AAPL,320193,Apple Inc.,company_raw/companyfacts/CIK0000320193.json,73a86c6aedc31f77cac2ea4df5f80f0b3bd7e6eb58bb4e01444fbedf3afb9c43,
ABT,1800,ABBOTT LABORATORIES,company_raw/companyfacts/CIK0000001800.json,5d751f73769f5c0a1f9bee0de16cb39d8961cf3f1ebb5558d555bb2678afb4ff,
ACGL,947484,ARCH CAPITAL GROUP LTD.,company_raw/companyfacts/CIK0000947484.json,6f58ecea35e219649385d34031c24e06590c72a7d51aeb610755cfc515e9355e,
ADBE,796343,ADOBE INC.,company_raw/companyfacts/CIK0000796343.json,75f3829c00b3e8c669b84dcefefe66bc6e0cefd25379b0f0528abd08064df62b,
ADI,6281,"Analog Devices, Inc.",company_raw/companyfacts/CIK0000006281.json,72833d1d0192802e4ccc0dedcc7be48509da00ca97160364188875adfcc585d8,
ADP,8670,"AUTOMATIC DATA PROCESSING, INC.",company_raw/companyfacts/CIK0000008670.json,84dcea82dead76b69090b0bd4b178bd386e3023ceda333ff26126d0eada25329,
AEE,1002910,AMEREN CORP,company_raw/companyfacts/CIK0001002910.json,be531a9122980ef87f34ba507aa7b7fd9a0e620f8297a2df23ab827862214bfa,
AEP,4904,"American Electric Power Company, Inc.",company_raw/companyfacts/CIK0000004904.json,c9040e99381d768142f28e73688dbd888766a5619dd7f701d653a7905d17b84d,
AES,874761,THE AES CORPORATION,company_raw/companyfacts/CIK0000874761.json,0026125c9740c5d2cd27d52c84e9b9ee15795978ef56633f0b3f830f08c95f16,
AFL,4977,Aflac Incorporated,company_raw/companyfacts/CIK0000004977.json,dacccab45a225cc1f9c4607c267ef07c055d45d701f129eca651a717ba3c6a39,
AIG,5272,"American International Group, Inc.",company_raw/companyfacts/CIK0000005272.json,a87d71ae54ec0da29855cff3de6286e3d1114ecbfe4326e838429dd21a520d6e,
AJG,354190,ARTHUR J. GALLAGHER & CO.,company_raw/companyfacts/CIK0000354190.json,4d63033074d3b50107567dc7e5375d7c9d94db490a3ff0d4463503e703dbcf99,
AKAM,1086222,"Akamai Technologies, Inc",company_raw/companyfacts/CIK0001086222.json,c68c8db25a5b809ca1ae6dfafac44bd2bf2cd13a8c7bd86a985ef1baf236b641,
ALB,915913,ALBEMARLE CORPORATION,company_raw/companyfacts/CIK0000915913.json,5cd3ca4cf5c31719acb1e076eff8056e414212076adbd68b05da1b6bd65b57d2,
ALL,899051,ALLSTATE CORP,company_raw/companyfacts/CIK0000899051.json,8590136d2df586eb759817c7c3793416e24065d5bd8b8886641f2d81296551b0,
AMAT,6951,APPLIED MATERIALS INC /DE,company_raw/companyfacts/CIK0000006951.json,65ecfedd5bfd3768d30286b52badee080c655cc8d1077524bdb6ca8928380fa7,
AMD,2488,ADVANCED MICRO DEVICES INC,company_raw/companyfacts/CIK0000002488.json,21a29c75076d90fced568785d855fc427a15c7458bc0bb153a9dedd88ad3349e,
AME,1037868,"AMETEK, Inc.",company_raw/companyfacts/CIK0001037868.json,8a1f593d3101b4530831d0fb0f37784796810616d3d50a9047a60b80fea4761c,
AMGN,318154,Amgen Inc.,company_raw/companyfacts/CIK0000318154.json,fdf5906752dbed7151b14f5e765db25e75393cedef4a2582d976623b49e2e4c7,
AMT,1053507,AMERICAN TOWER CORPORATION,company_raw/companyfacts/CIK0001053507.json,49e2d1977f8befbb07b9ac63645dc39064a0a60d8e903afa237232032b36b995,
AMZN,1018724,AMAZON COM INC,company_raw/companyfacts/CIK0001018724.json,e6aadb0da7384597dbd78f74d1379ffb7fd0829a4d2e797b6d7e442b5e1da0d7,
APA,6769,APACHE CORP,company_raw/companyfacts/CIK0000006769.json,6e55d75cf62089d5c024782071a2905e1ed3f8e40a08321754f5f4658c265c46,2021-03-02
APA,1841666,APA CORPORATION,company_raw/companyfacts/CIK0001841666.json,8412d6f4a709414b9d4630e6f969080aa608f9baf5f409fc296cbe071b1b7772,
APD,2969,"AIR PRODUCTS AND CHEMICALS, INC.",company_raw/companyfacts/CIK0000002969.json,b950a51ccd6520b9874e8452b9be9d2a43736bf24b7ea2413c44d34cf72a623a,
APH,820313,AMPHENOL CORPORATION,company_raw/companyfacts/CIK0000820313.json,eaa224da664e1fd6673c58a8b4dc3b4ca6bcf564591b967e057947f50bf46d23,
ARE,1035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",company_raw/companyfacts/CIK0001035443.json,e6e57fff4caf27f9c40a70ef88dfa971fc277929d7969a13326b6a950c8d5656,
ATO,731802,Atmos Energy Corp,company_raw/companyfacts/CIK0000731802.json,753566b394d8142db7d388a3f467e45feda3f6193784cb039558b510f682a789,
AVB,915912,"AVALONBAY COMMUNITIES, INC.",company_raw/companyfacts/CIK0000915912.json,97bca1b997018d0288e4f0e52d4cbcd6d9fbda05c32a89c71eb24125e962f7ec,
AVY,8818,AVERY DENNISON CORPORATION,company_raw/companyfacts/CIK0000008818.json,6387595009294d51ddf0917bd6dfebe06523f55fc359bcc96f4776522b77fcbc,
AXP,4962,AMERICAN EXPRESS CO,company_raw/companyfacts/CIK0000004962.json,8fe514defe349eb117b04523e2e5371387cef70748eabd0445040fe0a9f4840f,
AZO,866787,AUTOZONE INC,company_raw/companyfacts/CIK0000866787.json,0e652965cdc4fd7aa88190116e50474ffbf31ea6b4451b50b3b784af0eadc4d6,
BA,12927,THE BOEING COMPANY,company_raw/companyfacts/CIK0000012927.json,0c63f1ae7cc10b3c27e0c94f2add0c461e6293036dd4e52e52ae6dbb6f206e15,
BAC,70858,BofA Finance LLC,company_raw/companyfacts/CIK0000070858.json,ada7fe8e05f998548839439c2ef3e19fbc6ca7b9ad50d8b8f0450bd71ee16e4f,
BALL,9389,BALL CORPORATION,company_raw/companyfacts/CIK0000009389.json,75fe375c1c37418d1c4b81341fe67ef4e5c91b582b0accff37a6dcae05cd37a8,
BAX,10456,BAXTER INTERNATIONAL INC.,company_raw/companyfacts/CIK0000010456.json,98f10c840740ee257cb08b485f7842d702890e9b7ef20df2e3673fca2bb12297,
BBWI,701985,"BATH & BODY WORKS, INC.",company_raw/companyfacts/CIK0000701985.json,32cf34f9234848168739faf889c7115a9bb833efe026ce6b3a784af3496abf17,
BBY,764478,"BEST BUY CO., INC.",company_raw/companyfacts/CIK0000764478.json,9ad719bb8490017afb4d1950b80f1d7e8acefa17ae5f01afa5c565631ce50e2a,
BEN,38777,FRANKLIN RESOURCES INC,company_raw/companyfacts/CIK0000038777.json,1dd49e7e114b0ab135123530cc35d23a4bd53e6165256253f035ed446b62e671,
BIIB,875045,BIOGEN INC.,company_raw/companyfacts/CIK0000875045.json,e49b5a3bbf14de0fb7d239cc7824bd2fd0df6e7d76ccea2ef08421f0f26763e0,
BIO,12208,"BIO-RAD LABORATORIES, INC.",company_raw/companyfacts/CIK0000012208.json,c966980cb878d538b77448c49eac56c322e186d39e7068d6b7b2f3c6bba00242,
BK,1390777,Bank of New York Mellon Corp,company_raw/companyfacts/CIK0001390777.json,5e1d416fbbc5df89085c4e9d2f32ee91dfae321cb8f3a29a107699e974d926cd,
BKNG,1075531,Booking Holdings Inc.,company_raw/companyfacts/CIK0001075531.json,e4f4e13340718de01f6c966cc4c4ab09f037826023b7f20b9e969eb3ef7cb76c,
BKR,1701605,Baker Hughes Company,company_raw/companyfacts/CIK0001701605.json,987c100407bbbfa22e4a753baf8a903b0e4820079a6502acd13b3aab48a36fd3,
BLK,1364742,"BLACKROCK FINANCE, INC.",company_raw/companyfacts/CIK0001364742.json,a23441fcb996d7ea4f7290dced87bc7644542fa8b55977b388c20f9f2f6c3f8b,2024-10-01
BLK,2012383,"BlackRock, Inc.",company_raw/companyfacts/CIK0002012383.json,1626ac1989e2ec7baffb7d327f26bc2484865455f73e1d21058d678971cef0c6,
BMY,14272,BRISTOL-MYERS SQUIBB COMPANY,company_raw/companyfacts/CIK0000014272.json,a18ba88ed8f92b7f0cbc4d83a6db14b8fba95a5721f7f83a6306ca843ad40c2f,
BRK.B,1067983,BERKSHIRE HATHAWAY INC,company_raw/companyfacts/CIK0001067983.json,10088d8a156e01c366e55c70d8585b3ee7b70221ecbb7597a1147ece0c511246,
BRO,79282,"BROWN & BROWN, INC.",company_raw/companyfacts/CIK0000079282.json,05b38c0a1cb54cd234cd409f5a22b2f89e57473459422d78cd85d7690b37bedc,
BSX,885725,BOSTON SCIENTIFIC CORPORATION,company_raw/companyfacts/CIK0000885725.json,06fbd22345eaba9b752251c5e485a8a67a53a54d553376a44919d4724a40c786,
BWA,908255,BORGWARNER INC.,company_raw/companyfacts/CIK0000908255.json,fdd2d3bf28252d5a6dee2403610d9eb1307d3bf1262465f59012f0185b74ae70,
C,831001,Citigroup Inc,company_raw/companyfacts/CIK0000831001.json,f6c5c402325baeff16996bd6f71a14b4819182503e1c8206227ba5094ff071b7,
CAG,23217,CONAGRA BRANDS INC,company_raw/companyfacts/CIK0000023217.json,7f122d7d40634aa2fe0aff202caf19a4c99011f9bc0f96f89abdaeb5ed8df7d3,
CAH,721371,"Cardinal Health, Inc.",company_raw/companyfacts/CIK0000721371.json,15ee5d44f7a725091f5446fdd31c6240129b52589f205be995ed083006197d87,
CAT,18230,CATERPILLAR INC,company_raw/companyfacts/CIK0000018230.json,01ddc6ffa741f0a7da440e2949b2ed19cec14fab35435a398e3f3d0100019715,
CB,896159,Chubb Limited,company_raw/companyfacts/CIK0000896159.json,050a834c070af9963908ca5bfa72810d1d33393d19c8882d20a10948b278f5a9,
CCI,1051470,CROWN CASTLE INC.,company_raw/companyfacts/CIK0001051470.json,26332892a4dcd974308249d90b2fd21a8a0a454f86190fc157c66b1699b57196,
CCL,815097,Carnival Corporation Ltd.,company_raw/companyfacts/CIK0000815097.json,261b8d59e592337dd2775456e5b57b32e0c63c53f3fcbc5bdfcdab32b0d8a288,
CDNS,813672,"CADENCE DESIGN SYSTEMS, INC.",company_raw/companyfacts/CIK0000813672.json,0bfb80dcfb082f1368b0f19c256ca5b35585e20bda411cea2163627b55f0955b,
CHRW,1043277,"C. H. ROBINSON WORLDWIDE, INC.",company_raw/companyfacts/CIK0001043277.json,d4ed896e4ad7d80e907eb6aa1f11255b20fc0d744069677e6fa6546f880a215d,
CI,1739940,The Cigna Group,company_raw/companyfacts/CIK0001739940.json,06975e153efb2f8d174088c59762b86507fab3a97aa14de13861c58a1585c697,
CINF,20286,CINCINNATI FINANCIAL CORPORATION,company_raw/companyfacts/CIK0000020286.json,9ff1ea6e63c2113938817e6f8c7f9840717f453a1653f5550271580cda58d648,
CL,21665,COLGATE-PALMOLIVE COMPANY,company_raw/companyfacts/CIK0000021665.json,450c2668961565047c7745ff5df5d38b40cc57d6940c48fe8f32dca13100f96d,
